Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2023-01-01,307,978,219,9606,211
2023-01-02,289,941,213,9607,213
2023-01-03,326,949,251,9625,228
2023-01-04,310,959,226,9612,239
2023-01-05,343,1013,227,9623,222
2023-01-06,334,986,246,9628,232
2023-01-07,353,992,233,9653,200
2023-01-08,363,995,271,9696,220
2023-01-09,350,1008,248,9711,238
2023-01-10,360,960,269,9730,244
2023-01-11,348,1033,258,9745,237
2023-01-12,338,981,254,9748,258
2023-01-13,385,987,276,9808,224
2023-01-14,333,974,241,9809,244
2023-01-15,370,940,299,9855,249
2023-01-16,343,970,260,9887,234
2023-01-17,344,967,243,9908,218
2023-01-18,362,983,277,9948,239
2023-01-19,371,960,280,9994,241
2023-01-20,356,1024,273,10029,236
2023-01-21,374,974,271,10071,228
2023-01-22,368,930,276,10113,240
2023-01-23,348,1007,243,10147,223
2023-01-24,316,984,221,10120,245
2023-01-25,333,986,222,10121,229
2023-01-26,327,988,268,10150,228
2023-01-27,322,945,236,10151,243
2023-01-28,331,972,260,10177,229
2023-01-29,296,1033,216,10171,217
2023-01-30,322,1030,210,10173,214
2023-01-31,340,1016,244,10218,204
2023-02-01,322,1013,222,10214,231
2023-02-02,336,1047,250,10246,221
2023-02-03,308,996,223,10238,235
2023-02-04,335,1022,234,10276,197
2023-02-05,304,956,231,10285,226
2023-02-06,314,1025,205,10258,226
2023-02-07,330,1008,244,10295,215
2023-02-08,311,1051,229,10285,225
2023-02-09,340,1065,241,10299,226
2023-02-10,372,1020,262,10322,234
2023-02-11,338,966,239,10342,235
2023-02-12,339,992,269,10412,224
2023-02-13,332,1051,218,10402,233
2023-02-14,376,1023,267,10456,224
2023-02-15,367,1097,237,10464,246
2023-02-16,375,1004,274,10503,235
2023-02-17,379,994,281,10531,248
2023-02-18,355,1006,265,10570,229
2023-02-19,408,1034,295,10586,272
2023-02-20,373,1019,290,10628,275
2023-02-21,389,1024,289,10666,269
2023-02-22,421,1087,283,10693,263
2023-02-23,373,1073,237,10681,247
2023-02-24,406,1011,281,10707,257
2023-02-25,408,1027,308,10743,283
2023-02-26,400,1044,279,10736,268
2023-02-27,406,1028,296,10764,271
2023-02-28,434,1045,313,10807,269
2023-03-01,379,1090,271,10810,276
2023-03-02,419,1041,292,10822,283
2023-03-03,406,1080,281,10790,298
2023-03-04,406,1072,286,10807,272
2023-03-05,356,1089,240,10782,280
2023-03-06,421,1048,275,10791,278
2023-03-07,389,1085,264,10749,291
2023-03-08,386,1050,268,10761,267
2023-03-09,351,1011,257,10735,285
2023-03-10,376,1060,261,10719,269
2023-03-11,399,1025,299,10755,257
